Tm,Pitching,Hitting,SumW,W,L,Pitching,Both,80% P + 20% H,,,,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
ARI,92,74,166,82,80,10,#REF!,#REF!,,,,0.506,3.72,162,162,160,2,9,1,39,1463,1313,644,605,174,522,43,1448,57,5,69,6139,117,3.91,1.254,8.1,1.1,3.2,8.9,2.77,1106
ATL,91,86,177,90,72,1,#REF!,#REF!,,,,0.556,3.75,162,162,160,2,11,1,40,1456.2,1236,657,607,153,635,43,1423,52,8,61,6155,108,3.98,1.284,7.6,0.9,3.9,8.8,2.24,1128
BAL,55,68,123,47,115,8,#REF!,#REF!,,,,0.29,5.18,162,162,160,2,7,0,28,1431,1552,892,824,234,589,29,1203,67,8,81,6340,80,4.98,1.496,9.8,1.5,3.7,7.6,2.04,1155
BOS,91,104,195,108,54,-17,#REF!,#REF!,,,,0.667,3.75,162,162,160,2,14,0,46,1458.2,1305,647,608,176,512,8,1558,84,3,51,6166,117,3.82,1.246,8.1,1.1,3.2,9.6,3.04,1143
CHC,93,87,180,95,68,-2,#REF!,#REF!,,,,0.583,3.65,163,163,162,1,18,0,46,1476.1,1319,645,598,157,622,33,1333,66,3,46,6264,118,4.14,1.315,8,1,3.8,8.1,2.14,1190
CHW,64,72,136,62,100,2,#REF!,#REF!,,,,0.383,4.84,162,162,162,0,8,0,34,1437,1405,848,772,196,653,25,1259,89,9,94,6339,87,4.73,1.432,8.8,1.2,4.1,7.9,1.93,1180
CIN,69,82,151,67,95,2,#REF!,#REF!,,,,0.414,4.63,162,162,161,1,6,0,38,1441,1491,819,741,228,532,60,1258,50,8,48,6279,91,4.66,1.404,9.3,1.4,3.3,7.9,2.36,1137
CLE,90,95,185,91,71,-1,#REF!,#REF!,,,,0.562,3.77,162,162,157,5,17,2,41,1457.1,1349,648,611,200,407,29,1544,59,2,54,6071,116,3.79,1.205,8.3,1.2,2.5,9.5,3.79,1051
COL,76,91,167,91,72,-15,#REF!,#REF!,,,,0.558,4.33,163,163,163,0,10,0,51,1452.1,1378,745,699,184,525,24,1409,52,8,70,6154,108,4.06,1.31,8.5,1.1,3.3,8.7,2.68,1052
DET,70,64,134,64,98,6,#REF!,#REF!,,,,0.395,4.58,162,162,162,0,2,0,37,1425.1,1423,796,726,216,491,20,1215,60,4,54,6130,95,4.59,1.343,9,1.4,3.1,7.7,2.47,1058
HOU,107,90,197,103,59,4,#REF!,#REF!,,,,0.636,3.11,162,162,159,3,12,2,46,1455,1164,534,503,152,435,4,1687,66,4,67,5913,130,3.23,1.099,7.2,0.9,2.7,10.4,3.88,1014
KCR,61,70,131,58,104,3,#REF!,#REF!,,,,0.358,4.94,162,162,160,2,8,0,33,1432,1542,833,786,205,549,28,1157,51,4,68,6284,87,4.66,1.46,9.7,1.3,3.5,7.3,2.11,1155
LAA,81,81,162,80,82,1,#REF!,#REF!,,,,0.494,4.15,162,162,161,1,9,1,35,1437.1,1353,722,662,205,546,17,1386,65,3,87,6108,101,4.36,1.321,8.5,1.3,3.4,8.7,2.54,1074
LAD,100,97,197,92,71,8,#REF!,#REF!,,,,0.564,3.38,163,163,163,0,11,0,48,1476,1279,610,554,179,422,39,1565,61,10,39,6096,115,3.6,1.152,7.8,1.1,2.6,9.5,3.71,1058
MIA,66,57,123,63,98,3,#REF!,#REF!,,,,0.391,4.76,161,161,160,1,12,0,30,1442,1388,809,762,192,605,73,1249,71,6,47,6236,77,4.57,1.382,8.7,1.2,3.8,7.8,2.06,1101
MIL,91,88,179,96,67,-5,#REF!,#REF!,,,,0.589,3.73,163,163,163,0,14,0,49,1461,1259,659,606,173,553,34,1428,61,5,50,6114,110,4.01,1.24,7.8,1.1,3.4,8.8,2.58,1072
MIN,72,80,152,78,84,-6,#REF!,#REF!,,,,0.481,4.5,162,162,160,2,7,1,37,1443.1,1425,775,721,198,573,34,1377,80,0,59,6287,98,4.39,1.384,8.9,1.2,3.6,8.6,2.4,1182
NYM,83,72,155,77,85,6,#REF!,#REF!,,,,0.475,4.07,162,162,159,3,15,1,41,1460.2,1364,707,661,185,484,32,1446,71,2,26,6178,91,3.97,1.265,8.4,1.1,3,8.9,2.99,1089
NYY,90,100,190,100,62,-10,#REF!,#REF!,,,,0.617,3.78,162,162,160,2,11,2,49,1456.1,1311,669,611,177,494,9,1634,58,4,73,6141,116,3.63,1.239,8.1,1.1,3.1,10.1,3.31,1103
OAK,89,94,183,97,65,-8,#REF!,#REF!,,,,0.599,3.81,162,162,160,2,14,2,44,1465.2,1303,674,621,184,474,19,1237,53,2,86,6099,109,4.18,1.212,8,1.1,2.9,7.6,2.61,1028
PHI,81,74,155,80,82,1,#REF!,#REF!,,,,0.494,4.14,162,162,162,0,12,0,44,1445.2,1366,728,665,171,500,35,1465,60,7,81,6138,101,3.83,1.291,8.5,1.1,3.1,9.1,2.93,1073
PIT,85,80,165,82,79,3,#REF!,#REF!,,,,0.509,4,161,161,158,3,16,2,40,1434,1380,693,637,174,497,43,1336,69,6,95,6144,97,4.06,1.309,8.7,1.1,3.1,8.4,2.69,1149
SDP,75,63,138,66,96,9,#REF!,#REF!,,,,0.407,4.4,162,162,162,0,5,0,36,1457,1430,767,713,185,519,28,1399,68,4,52,6254,88,4.1,1.338,8.8,1.1,3.2,8.6,2.7,1116
SEA,81,79,160,89,73,-8,#REF!,#REF!,,,,0.549,4.13,162,162,159,3,12,1,60,1448.2,1396,711,664,195,400,21,1328,72,3,57,6073,99,4.05,1.24,8.7,1.2,2.5,8.3,3.32,1016
SFG,86,60,146,73,89,13,#REF!,#REF!,,,,0.451,3.95,162,162,161,1,15,1,36,1461.1,1387,699,641,156,524,37,1269,45,4,44,6191,99,3.98,1.308,8.5,1,3.2,7.8,2.42,1108
STL,88,82,170,88,74,0,#REF!,#REF!,,,,0.543,3.85,162,162,161,1,8,1,43,1455.1,1354,691,622,144,593,49,1337,67,4,63,6271,101,3.97,1.338,8.4,0.9,3.7,8.3,2.25,1214
TBR,91,85,176,90,72,1,#REF!,#REF!,,,,0.556,3.74,162,162,162,0,14,0,52,1448.1,1236,646,602,164,501,34,1421,53,6,55,5992,111,3.82,1.199,7.7,1,3.1,8.8,2.84,1001
TEX,62,79,141,67,95,-5,#REF!,#REF!,,,,0.414,4.92,162,162,161,1,5,0,42,1431,1516,848,783,222,491,23,1121,72,8,57,6231,99,4.79,1.403,9.5,1.4,3.1,7.1,2.28,1090
TOR,63,85,148,73,89,-10,#REF!,#REF!,,,,0.451,4.85,162,162,162,0,3,0,39,1433.2,1476,832,772,208,551,19,1298,67,5,71,6265,87,4.53,1.414,9.3,1.3,3.5,8.1,2.36,1132
WSN,84,90,174,82,80,2,#REF!,#REF!,,,,0.506,4.04,162,162,160,2,7,1,40,1446,1320,682,649,198,487,37,1417,76,6,42,6087,106,4.15,1.25,8.2,1.2,3,8.8,2.91,1067






