Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
235,Old Dominion,30,23,7,0.767,4.66,-1.67,13,4,14,2,8,3,2022,1832,,65.8,102.4,0.302,0.381,0.51,53.7,54,8.9,14.1,0.484,15.2,32.4,0.197
236,Oral Roberts,31,11,20,0.355,-8.88,-1.64,7,9,7,6,3,13,2241,2397,,69.3,103.9,0.258,0.391,0.549,52,50.4,6.8,9.5,0.527,17.6,30,0.179
237,Oregon State,29,17,12,0.586,8.53,4.5,9,8,10,5,5,5,2132,2015,,67.2,108.4,0.362,0.367,0.563,51.9,58.7,8.7,15.2,0.526,16.2,30.8,0.268
238,Oregon,30,18,12,0.6,11.3,5.07,9,8,13,4,4,7,2115,1928,,66.2,106,0.301,0.397,0.547,51,54,11.4,14.2,0.517,15.3,28.9,0.217
239,Pacific,32,14,18,0.438,-1.96,2.48,4,12,9,7,5,10,2138,2241,,66.7,99.4,0.414,0.336,0.532,51.2,45.4,9.1,5,0.482,17.4,27,0.31
240,Penn State,30,13,17,0.433,13.05,12.31,6,13,8,6,3,9,2085,2063,,68.3,101,0.327,0.367,0.51,51.5,48.6,11.1,10.7,0.475,15.5,31.4,0.227
241,Pennsylvania,28,17,11,0.607,2.22,-0.52,5,7,8,4,8,5,2057,1934,,69.6,103.3,0.293,0.444,0.55,50,57.2,9.3,6,0.533,16.2,24.9,0.185
242,Pepperdine,31,14,17,0.452,0.45,-0.05,6,10,9,5,2,11,2341,2292,,70.8,105.9,0.365,0.42,0.561,47.3,55.7,9.5,8.5,0.519,15.8,24.9,0.278
243,Pittsburgh,30,12,18,0.4,8.48,7.14,2,15,10,7,0,11,2111,2071,,69.2,100.9,0.432,0.371,0.523,49.8,50.6,9.9,11,0.481,17,31.5,0.301
244,Portland State,30,15,15,0.5,-8.64,-5.46,10,9,10,4,3,10,2320,2243,,72.2,106.2,0.374,0.377,0.524,54.6,51,11.5,11.2,0.486,16.1,38.4,0.263
245,Portland,32,7,25,0.219,-10.23,1.08,0,16,6,11,1,12,2078,2389,,68.4,94.2,0.391,0.389,0.513,46.3,52.2,7.9,11.1,0.477,17.3,21.1,0.262
246,Prairie View,30,18,12,0.6,-8.27,-8.27,16,1,8,0,9,12,2194,2178,,72.3,101.1,0.415,0.334,0.519,46.6,49.5,11.6,4.7,0.483,15.6,29.8,0.276
247,Presbyterian,33,18,15,0.545,-3.04,-5.17,9,7,12,3,6,11,2601,2389,,69.5,112.9,0.323,0.479,0.572,49.7,58.3,8.4,6.2,0.542,12.5,26.1,0.235
248,Princeton,25,16,9,0.64,-2.44,-0.96,8,4,7,3,8,5,1749,1720,,69.3,99.5,0.303,0.406,0.515,50.1,43.4,8.8,7.1,0.476,15.4,26.4,0.226
249,Providence,30,16,14,0.533,8.26,6.89,6,11,10,6,5,6,2131,2090,,68.7,101.3,0.388,0.344,0.512,50.9,58.6,10.5,10.8,0.474,15.8,32,0.265
250,Purdue,30,22,8,0.733,21.84,12.21,15,4,15,0,5,6,2295,2006,,66.5,114.1,0.295,0.448,0.56,53.7,53,9.8,13.3,0.531,13.7,35.1,0.215
251,Quinnipiac,29,16,13,0.552,-5.63,-7.56,11,7,7,7,9,5,2121,2065,,67.5,105.7,0.376,0.532,0.557,50.9,54,7.6,5.2,0.522,17.1,29.3,0.269
252,Radford,31,21,10,0.677,1.9,-1.64,12,4,11,2,9,7,2312,2117,,66.8,110.8,0.277,0.39,0.564,52.7,53.1,8.9,10,0.54,14.3,29.5,0.198
253,Rhode Island,29,15,14,0.517,2.59,1.63,8,9,8,5,5,7,1997,1969,,68.5,99.3,0.371,0.329,0.503,51.4,48.7,10.5,11.8,0.467,15.4,31.1,0.249
254,Rice,30,13,17,0.433,-5.32,-1.4,8,9,9,6,4,11,2232,2321,,71.9,101.4,0.389,0.427,0.538,51.3,53,7,8.7,0.505,16.5,26.2,0.265
255,Richmond,30,12,18,0.4,-1.11,-0.64,6,11,7,9,4,7,2125,2139,,67,105.7,0.316,0.406,0.568,45.2,60.5,11.6,8.5,0.549,14.5,18.6,0.21
256,Rider,30,16,14,0.533,-4.2,-6,11,7,9,3,6,10,2300,2246,,74.4,102.6,0.404,0.344,0.529,50.2,53.8,12.4,10.1,0.506,15.7,29.9,0.248
257,Robert Morris,32,17,15,0.531,-9.22,-7.32,11,7,12,3,5,12,2218,2171,,68.3,100.3,0.336,0.393,0.534,50.5,57.2,10.4,7.9,0.503,18.6,30,0.234
258,Rutgers,29,14,15,0.483,10.07,10.21,7,12,10,7,4,8,1971,1975,,68,99.1,0.312,0.335,0.494,52.6,50.1,9.7,11.5,0.469,15.8,33.6,0.196
259,Sacramento State,28,14,14,0.5,-8.58,-6.82,8,11,8,4,4,10,1984,1930,,69.5,101,0.338,0.283,0.522,50.2,53.2,10.9,9.8,0.491,15.8,28.5,0.231
260,Sacred Heart,32,15,17,0.469,-7.25,-7.48,11,7,10,3,4,13,2558,2509,,74,107.6,0.375,0.354,0.564,53,53.2,7.2,10.7,0.523,17,31.3,0.283
261,Saint Francis (PA),30,17,13,0.567,-8.4,-6.25,12,6,11,3,6,10,2297,2270,,71.2,107.6,0.341,0.362,0.533,52.2,47.3,9.7,8,0.499,14.8,34.2,0.242
262,Saint Joseph's,30,13,17,0.433,-0.05,1.72,6,11,10,5,2,10,2113,2166,,68.6,102.2,0.32,0.452,0.521,48.6,50.7,8,10.1,0.481,12,21.7,0.237
263,Saint Louis,30,19,11,0.633,4.75,1.81,10,7,15,2,4,7,2033,1945,,68.1,99.5,0.419,0.328,0.496,54.2,54.7,11.1,12.1,0.469,16.4,35.6,0.251
264,Saint Mary's (CA),31,20,11,0.645,12.39,3.94,11,5,14,3,5,5,2277,2015,,64.7,113.1,0.299,0.356,0.57,54.4,39.2,9.2,6.7,0.54,14,31.8,0.221
265,Saint Peter's,31,10,21,0.323,-11.87,-6,6,12,7,7,2,14,1941,2123,,64.4,95.3,0.348,0.346,0.523,50.6,42.9,8.3,17.6,0.483,20.2,29.1,0.252
266,Sam Houston State,30,20,10,0.667,-2.54,-5.68,15,2,12,2,7,8,2263,2089,,69.1,106.9,0.264,0.421,0.551,51.2,61.4,10.8,9.3,0.522,15.6,30.1,0.196
267,Samford,31,16,15,0.516,0.54,-1.63,6,12,11,6,5,9,2413,2339,,71.2,106.3,0.342,0.35,0.566,50.3,49.7,9.8,11.1,0.534,17.1,28,0.248
268,San Diego State,30,19,11,0.633,5.6,1.78,11,6,14,3,4,6,2199,2035,,69.1,106.1,0.351,0.371,0.55,52,57.7,8.6,10.4,0.515,16.1,30.7,0.253
269,San Diego,32,19,13,0.594,6.04,3.81,7,9,12,4,5,8,2327,2210,,68,105.3,0.326,0.402,0.563,51.7,57.8,8.5,8.5,0.529,16.4,24.9,0.242
270,San Francisco,30,21,9,0.7,9.97,1.7,9,7,13,3,6,5,2286,2012,,67.2,112.5,0.306,0.394,0.558,52.2,51,9,8.7,0.538,13,30.6,0.201
271,San Jose State,29,4,25,0.138,-14.72,0.93,1,16,4,11,0,11,1905,2326,,71.1,91.6,0.351,0.353,0.493,50.3,59.3,6,5,0.459,19.1,28.9,0.232
272,Santa Clara,30,16,14,0.533,-1.09,1.26,8,8,11,6,4,6,2070,2110,,67.6,100.8,0.345,0.399,0.555,49.4,57.2,6.8,9.2,0.522,18.4,24.3,0.249
273,Savannah State,30,11,19,0.367,-19.8,-8.08,8,8,6,5,3,14,2293,2623,,78.2,97.3,0.252,0.578,0.508,45.9,55.9,9.6,7.5,0.485,17,27.9,0.169
274,Seattle,30,17,13,0.567,-1.13,-4.02,5,10,10,5,4,8,2194,2050,,69.9,104.2,0.348,0.332,0.537,52.5,46,6.3,9.3,0.502,15.5,29.6,0.248
275,Seton Hall,29,17,12,0.586,10.64,8.54,8,9,10,4,3,8,2135,2074,,70.4,103.2,0.338,0.36,0.537,49.6,51.5,9.9,11.4,0.503,15.9,28.5,0.241
276,Siena,31,16,15,0.516,-7.43,-6.23,11,7,7,7,8,7,1987,2024,,61.2,102.6,0.244,0.478,0.531,47,53,9.3,8.3,0.51,13.9,23.5,0.164
277,South Alabama,30,14,16,0.467,-4.52,-2.38,7,10,12,6,2,9,2188,2179,,69,104.4,0.354,0.404,0.558,47.7,54.2,8.7,11.7,0.532,16.9,26.2,0.239
278,South Carolina State,32,7,25,0.219,-16.68,-7.41,5,11,5,5,2,19,2252,2461,,69.5,100.1,0.399,0.306,0.527,50.3,46.6,7.2,5.5,0.479,17.8,32.2,0.295
279,South Carolina Upstate,32,6,26,0.188,-15.06,-4.03,1,16,5,9,1,15,2169,2395,,69.4,96.9,0.262,0.437,0.515,46.7,56,9.2,8.1,0.485,17.3,26.2,0.187
280,South Carolina,30,15,15,0.5,8.24,10,10,7,10,6,4,8,2197,2197,,71.6,101.9,0.357,0.344,0.521,49.6,51.3,8.6,12.7,0.488,16.1,31.9,0.243
281,South Dakota State,31,24,7,0.774,6.71,-4.96,14,2,14,1,7,5,2640,2267,,72.8,117,0.324,0.41,0.621,53.6,50.1,8.6,5.7,0.59,14.6,23.7,0.253
282,South Dakota,29,13,16,0.448,-4.33,-2.74,7,9,8,6,4,8,2048,2040,,67.9,103.6,0.358,0.4,0.55,47.7,52.5,8.1,6.5,0.511,14.4,21.4,0.265
283,South Florida,30,19,11,0.633,5.98,1.15,8,9,14,4,4,6,2168,1987,,69.2,102.3,0.499,0.38,0.528,55.1,57.7,11.3,10,0.495,19.2,37.8,0.318
284,Southeast Missouri State,31,10,21,0.323,-11.24,-4.31,5,13,6,8,2,13,2216,2378,,70.2,99.8,0.287,0.397,0.539,48.8,50.5,8.2,6.9,0.514,17.9,25.7,0.198
285,Southeastern Louisiana,30,16,14,0.533,-7.24,-5.63,12,5,9,5,7,8,2016,2025,,67.9,98.9,0.369,0.397,0.542,52,59.6,9.9,7.1,0.506,20.9,32.4,0.262
286,Southern California,30,15,15,0.5,8.3,4.67,8,9,12,5,2,7,2298,2189,,71.2,105.8,0.279,0.359,0.547,48.9,58.6,8.5,8.9,0.53,14.5,26.9,0.18
287,SIU Edwardsville,31,10,21,0.323,-14.27,-4.86,6,12,7,8,2,11,2265,2520,,71.9,98.4,0.357,0.35,0.51,48.2,48.1,8.6,6.1,0.471,16.5,28.7,0.251
288,Southern Illinois,31,17,14,0.548,1.88,0.17,10,8,9,6,7,7,2136,2083,,66.8,103.1,0.326,0.334,0.558,50.8,55.1,10,11.8,0.533,18.6,28.5,0.223
289,Southern Methodist,29,13,16,0.448,5.37,3.75,5,12,10,8,2,6,2078,2031,,66.5,107.8,0.272,0.416,0.534,51.4,53.6,8.7,11.7,0.505,14,33.6,0.196
290,Southern Mississippi,29,18,11,0.621,3.22,-0.38,10,7,10,3,7,6,2102,1879,,67.3,106.8,0.256,0.354,0.55,49.9,61.8,11.7,11,0.534,13.5,24.8,0.166
291,Southern Utah,29,14,15,0.483,-9.95,-5.99,9,11,10,2,4,12,2188,2202,,73.4,101.4,0.362,0.404,0.543,49.7,47.9,8,9.3,0.509,16.4,23.6,0.254
292,Southern,30,6,24,0.2,-17.27,-7.2,5,12,6,5,0,16,1920,2203,,68.2,93.5,0.343,0.313,0.517,48,49,10,7.8,0.487,20.7,29.7,0.227
293,St. Bonaventure,30,15,15,0.5,2.68,0.35,11,6,8,5,6,7,1995,1925,,65.7,99.2,0.271,0.329,0.518,50.9,50.1,9.2,14.5,0.486,16.6,29,0.197
294,St. Francis (NY),32,17,15,0.531,-9.58,-8.08,9,9,11,3,6,11,2273,2239,,70.5,100.3,0.296,0.403,0.517,49.3,45.3,8.3,10.4,0.49,15.5,27.6,0.2
295,St. John's (NY),30,20,10,0.667,10.03,5.8,8,9,11,4,4,6,2354,2227,,72.6,106.8,0.302,0.388,0.558,46.2,50.6,12,9.9,0.529,13.2,21.7,0.218
296,Stanford,30,15,15,0.5,6.64,5.47,8,10,10,3,4,9,2183,2148,,71.6,101.3,0.365,0.368,0.545,51.5,48.8,8.3,10.5,0.516,18.5,29.7,0.247
297,Stephen F. Austin,29,14,15,0.483,-10.36,-5.52,7,10,10,5,3,9,2048,2093,,70.2,99.7,0.361,0.342,0.531,49.3,46.5,9.2,11.9,0.498,18.3,30.4,0.247
298,Stetson,31,7,24,0.226,-14.85,-3.3,3,13,7,8,0,16,2151,2429,,71.6,96.5,0.256,0.349,0.489,47.8,52.6,9.4,8.5,0.459,15.2,29,0.177
299,Stony Brook,31,24,7,0.774,-1.25,-6.21,12,4,10,3,13,3,2213,2028,,69.5,101.8,0.357,0.367,0.522,54.4,44.9,8.7,12.6,0.483,17.4,33.9,0.256
300,Syracuse,30,19,11,0.633,14.81,10.04,10,7,13,6,6,3,2101,1958,,67.3,103.6,0.366,0.427,0.526,48.8,50.9,12.1,17,0.493,15.3,30.3,0.249
301,Temple,30,22,8,0.733,8.63,4.67,12,5,12,2,7,5,2254,2135,,70.3,105.1,0.325,0.379,0.538,48.2,55.1,12.3,6.4,0.503,13.6,25.9,0.237
302,Tennessee-Martin,31,12,19,0.387,-10.89,-4.27,6,12,10,4,1,14,2356,2486,,71.2,105.9,0.276,0.379,0.544,48.6,51.6,10,7.9,0.511,16.2,31.3,0.208
303,Tennessee State,30,9,21,0.3,-11.52,-3.06,6,12,6,7,3,14,2182,2332,,73.1,98.6,0.361,0.412,0.536,50,45.5,9.9,7.5,0.501,19.6,29.3,0.253
304,Tennessee Tech,31,8,23,0.258,-14.6,-2.85,4,14,5,10,3,13,2104,2350,,72.9,92.4,0.362,0.348,0.503,48.3,52.4,9.9,11.1,0.476,19.8,28.4,0.228
305,Tennessee,30,27,3,0.9,23.45,9.14,15,2,18,0,7,2,2472,2012,,69.9,116.4,0.34,0.315,0.59,52.5,62.1,8.6,15.3,0.555,13.8,31,0.259
306,Texas A&M-Corpus Christi,30,13,17,0.433,-7.9,-4.71,8,9,8,7,5,9,1997,1982,,67.4,98,0.306,0.342,0.515,52.8,54.8,9.3,9.4,0.484,18.1,31.6,0.212
307,Texas A&M,29,13,16,0.448,7.94,8.76,6,11,9,8,3,6,2049,2073,,69.8,101.2,0.343,0.363,0.524,51.2,47.8,9.2,13.2,0.49,17.2,33.1,0.239
308,Texas-Arlington,30,15,15,0.5,-0.51,1.25,11,6,8,5,7,10,2072,2099,,68.8,98.3,0.345,0.404,0.514,51.7,54,9.2,8.3,0.47,17.6,31.4,0.256
309,Texas Christian,30,18,12,0.6,13.31,9.28,6,11,12,5,2,7,2242,2121,,69.8,105.3,0.321,0.375,0.547,51.4,60.6,10.1,11.2,0.52,16.5,31.3,0.222
310,Texas-El Paso,28,8,20,0.286,-7.69,-0.96,3,14,8,8,0,12,1812,1953,,70.3,91.2,0.367,0.386,0.503,50.6,48.1,6.5,7.7,0.468,20.2,27.3,0.244
311,Texas-Rio Grande Valley,33,18,15,0.545,-1.44,-0.95,9,7,10,7,8,7,2318,2307,,71.6,97.3,0.438,0.292,0.504,46.1,56.6,13.1,8,0.457,15.6,26.8,0.302
312,Texas-San Antonio,30,17,13,0.567,2.74,0.43,11,6,11,4,5,6,2357,2241,,74.2,104.6,0.258,0.409,0.539,49.7,45.9,9.1,7,0.509,14.7,26.1,0.191
313,Texas Southern,30,19,11,0.633,-5.55,-6.41,14,3,8,1,10,10,2396,2330,,76.5,104,0.412,0.377,0.538,50.2,55.4,10.5,7.3,0.505,16.9,31,0.277
314,Texas State,30,23,7,0.767,3.13,-2.59,12,5,11,3,10,4,2191,1910,,68.2,106.2,0.339,0.381,0.543,54.2,57.2,10,7.1,0.517,16.4,33.2,0.225
315,Texas Tech,30,25,5,0.833,22.14,7.47,13,4,17,1,5,3,2185,1745,,67.4,107.7,0.341,0.355,0.569,51.9,51.9,10.4,15.5,0.539,16.2,28.8,0.245
316,Texas,30,16,14,0.533,16.35,11.65,8,9,12,5,2,8,2151,2010,,66.3,107.3,0.303,0.436,0.543,49.8,51.1,9,11.6,0.513,14.4,29.4,0.215
317,Toledo,30,24,6,0.8,9.39,0.7,12,5,13,2,8,4,2333,2040,,70.3,109.7,0.268,0.423,0.566,53.2,59.8,7.2,11.8,0.534,15.3,28.9,0.207
318,Towson,31,10,21,0.323,-7.92,-2.92,6,12,5,8,4,8,2097,2220,,64.5,102.3,0.283,0.297,0.51,53.6,39.5,7.3,9.9,0.481,15.4,34.5,0.197
319,Troy,29,11,18,0.379,-6.29,-0.74,4,13,8,8,3,9,2105,2175,,69.5,103.5,0.316,0.406,0.553,48.7,50.7,8.1,12.5,0.522,17.2,26.5,0.227
320,Tulane,29,4,25,0.138,-7.13,3.32,0,17,3,11,0,10,1935,2238,,71.8,93,0.334,0.38,0.504,48.8,61.1,6.5,8.9,0.469,18.7,26.5,0.229
321,Tulsa,30,18,12,0.6,4.9,3.67,8,9,14,3,3,7,2168,2131,,69.8,102.7,0.45,0.373,0.557,48.5,54.6,7.6,6.8,0.52,16.4,22,0.311
322,UCLA,30,16,14,0.533,7.8,6.87,9,8,13,5,3,5,2348,2320,,73.6,105,0.375,0.359,0.543,53.1,52.8,8.1,10.7,0.522,16.6,31.3,0.236
323,Utah State,31,25,6,0.806,12.54,0.74,15,3,14,1,9,4,2452,2071,,70,112.2,0.356,0.379,0.577,56.1,61.7,8.9,12.3,0.541,15.3,31.5,0.266
324,Utah Valley,30,22,8,0.733,3.83,-1.82,11,4,11,1,8,7,2327,2121,,70.6,109.8,0.401,0.373,0.592,53,50.7,8.6,6.1,0.56,17.2,27,0.29
325,Utah,29,16,13,0.552,6.34,5.2,10,7,8,5,6,5,2197,2164,,67.9,111,0.357,0.462,0.582,52.4,55.2,6.9,7.1,0.555,17.2,30.8,0.252
326,Valparaiso,32,15,17,0.469,-2.82,-0.78,7,11,8,7,5,8,2151,2120,,66.6,99.8,0.339,0.33,0.537,50.9,54.4,9.2,8.3,0.505,17.6,27,0.237
327,Vanderbilt,30,9,21,0.3,4.82,8.06,0,17,8,10,1,9,2069,2166,,69.4,98.9,0.411,0.421,0.525,50.4,51.4,6.5,10.6,0.488,18,28.7,0.279
328,Vermont,30,24,6,0.8,4.58,-3.7,14,2,13,2,11,4,2216,1910,,67.2,109.1,0.367,0.394,0.562,52.9,46.1,8.2,11.7,0.522,14.4,27.2,0.275
329,Villanova,30,22,8,0.733,15.9,7.97,13,4,13,2,5,5,2239,2001,,65.5,113,0.348,0.535,0.568,52,57.4,8.3,8.8,0.536,14.3,30.8,0.251
330,Virginia Commonwealth,30,24,6,0.8,13.34,3.07,15,2,15,1,8,4,2141,1833,,69.1,102.4,0.361,0.41,0.539,51,54.7,11.6,12.4,0.506,17.6,31.1,0.253
331,VMI,30,10,20,0.333,-10.54,0.32,4,14,8,7,2,13,2265,2435,,73.4,101.9,0.292,0.454,0.538,47.2,52.9,9.4,5,0.507,15.1,23.4,0.211
332,Virginia Tech,29,22,7,0.759,19.92,7.71,11,6,13,2,5,5,2150,1796,,64.5,114.5,0.328,0.453,0.596,52.4,59.8,10.6,8.9,0.565,15.7,30.7,0.249
333,Virginia,29,27,2,0.931,27.31,9.31,15,2,14,1,10,1,2091,1569,,61.2,117.3,0.298,0.378,0.588,54.7,56.7,9,12.6,0.56,13.1,30.6,0.223
334,Wagner,30,13,17,0.433,-12.45,-7.09,8,10,7,7,6,10,1974,2044,,66.4,98.7,0.339,0.456,0.501,52,53.6,9.2,12,0.456,17.4,33.9,0.252
335,Wake Forest,29,11,18,0.379,1.88,9.08,4,13,8,7,1,10,1991,2200,,68.9,98.9,0.375,0.358,0.499,52.4,46.9,7.1,7.5,0.451,16.5,33.8,0.273
336,Washington State,30,11,19,0.367,-1.01,1.76,4,13,9,6,2,8,2265,2348,,71.8,105.2,0.306,0.439,0.565,48.5,56.7,7.2,8.3,0.532,16.8,24.8,0.23
337,Washington,30,24,6,0.8,12.85,6.02,15,2,15,0,7,4,2135,1930,,67.3,105.3,0.356,0.392,0.56,48.9,47.1,13.1,16.4,0.53,17.3,30.5,0.25
338,Weber State,30,17,13,0.567,-3.16,-5.88,11,8,9,4,5,7,2410,2225,,73.5,108.3,0.362,0.354,0.582,49.7,41.9,7.1,9.8,0.547,14.5,20.4,0.27
339,West Virginia,30,12,18,0.4,6.84,10.54,4,13,10,6,0,9,2185,2296,,71.3,100.5,0.424,0.397,0.516,53,53.6,8.6,9.7,0.476,18.7,37,0.289
340,Western Carolina,31,7,24,0.226,-8.44,1.06,4,14,4,8,3,14,2221,2467,,71.3,99.3,0.361,0.463,0.565,52.5,49.5,6,4.4,0.541,22.5,28.8,0.242
341,Western Illinois,29,9,20,0.31,-10.54,-5.32,4,12,7,6,2,14,2046,2120,,69.5,101.1,0.23,0.34,0.53,48.6,40,7.7,11.6,0.503,14.7,22.4,0.17
342,Western Kentucky,31,18,13,0.581,3.05,1.34,11,7,10,4,6,8,2236,2183,,69.2,102.6,0.363,0.319,0.544,51.3,48.4,9.9,14.1,0.505,17.3,28.3,0.265
343,Western Michigan,30,8,22,0.267,-5.66,1.89,2,15,5,8,2,13,2104,2276,,69.9,98.6,0.387,0.397,0.528,51.2,47.1,6.7,6.3,0.491,18.9,29.8,0.268
344,Wichita State,29,16,13,0.552,6.91,5.94,9,8,10,4,3,7,2035,2007,,69.1,101.1,0.275,0.389,0.501,51.7,54.5,6.7,10,0.469,14.7,32.3,0.196
345,William & Mary,30,14,16,0.467,-3.95,-1.36,10,8,9,5,5,11,2242,2300,,69.4,105.5,0.322,0.413,0.565,49.9,62.7,7.2,12.3,0.545,16.2,24.2,0.213
346,Winthrop,30,18,12,0.6,-2.66,-3.51,10,6,11,3,7,8,2499,2358,,75.1,110,0.301,0.531,0.582,53.4,53.8,5.9,7.2,0.554,17.5,29.8,0.222
347,Wisconsin,30,21,9,0.7,19.44,10.98,13,6,11,3,7,5,2085,1831,,64.8,105.4,0.28,0.343,0.541,49.8,49,8,11.2,0.522,12.8,23.9,0.181
348,Wofford,30,26,4,0.867,13.67,0.27,18,0,15,1,11,3,2489,1963,,68.4,120.3,0.266,0.434,0.598,55.1,51.3,10.1,9.1,0.58,13.2,33.7,0.187
349,Wright State,32,20,12,0.625,3.48,-1.29,13,5,15,2,5,7,2360,2159,,67.7,108.6,0.34,0.4,0.547,52.5,54.8,9.2,5.9,0.51,14.8,31.5,0.251
350,Wyoming,30,7,23,0.233,-9.61,0.91,3,14,5,10,1,11,1949,2252,,69.7,92.9,0.39,0.434,0.531,44.8,47,8.1,7.9,0.489,18.8,16.1,0.281
351,Xavier,30,16,14,0.533,9.35,8.32,8,9,11,5,4,7,2161,2130,,67.2,106.3,0.338,0.376,0.559,52.9,55.6,8.2,11,0.532,17.5,31.8,0.233
352,Yale,25,19,6,0.76,5.57,-1.6,9,3,10,2,7,4,2026,1825,,73.3,109,0.311,0.347,0.586,53.6,58.7,8.1,11.6,0.561,16.8,26.7,0.222